ID,問題タイプ,分類,タイトル,問題文,選択肢,回答,画像,解説
1,選択,選択問題,バンコマイシン,確認項目は？,体重;腎機能;肝機能;TDM,体重;腎機能;TDM,,体重・腎機能・TDM
2,自由記載,院内ルール,KCL製剤,院内ルールを記載してください,,,,希釈濃度・投与速度
3,画像+自由記載,処方監査,処方監査①,,,,problem003.png,用量確認
4,選択,選択問題,配合変化,次のうち配合変化を起こしやすい組み合わせは？,A;B;C;D,A;B;,,解説
5,自由記載,院内ルール,持参薬,持参薬確認時の注意点を記載してください,,,,解説
6,自由記載,抗菌薬,AST,大腸菌に効く抗生剤は,ABPC;ST;AMK;MEPM,ABPC;ST;AMK;MEPM,,aho
7,選択,高濃度電解質,高濃度電解質,当院で採用されている高濃度電解質は何製剤ありますか。,3製剤;4製剤;5製剤;6製剤;7製剤,5製剤,,"KCL注20mEq/L/リン酸2カリウム注20mEq/硫酸Mg補正液/マグネゾール注/塩化ナトリウム注の5種類
※硫酸Mg補正液、マグネゾールは両方ともマグネシウム製剤だが、適応がことなる。当院ではマグネゾールは婦人科(重症妊娠高血圧症候群における子癇の発症抑制及び治療)と、OPE室（適応外）でしか原則使用しない。"
8,選択,高濃度電解質,高濃度電解質,KCL注20mEqキット希釈濃度として正しいものを選択してください。,40mEq/L以下;30mEq/L以下;20mEq/L以下,40mEq/L以下,,本剤は電解質の補正用製剤であるため、必ず希釈して使用すること（カリウムイオン濃度として40mEq/L以下に必ず希釈し、十分に混和した後に投与すること）。
9,選択,高濃度電解質,高濃度電解質,KCL注20mEqキットの投与速度と1日上限量の正しい組み合わせを選択してください。,40mEq/hr 100meq/日;20mEq/hr 100meq/日;30mEq/hr 100mEq/日,20mEq/hr 100meq/日,,"ゆっくり静脈内に投与し、投与速度はカリウムイオンとして20mEq/hrを超えないこと。
カリウムイオンとしての投与量は1日100mEqを超えないこと。"
10,選択,高濃度電解質,高濃度電解質,リン酸2カリウム注20mEqと配合変化に注意が必要な製剤について正しいものを選択してください。,カルシウム塩を含む製剤;ナトリウム塩を含む製剤;マグネシウム塩を含む製剤;,"カルシウム塩を含む製剤;
マグネシウム塩を含む製剤",,細胞外液はカルシウム塩を含む製剤、マグネシウム塩を含む製剤が多く配合変化に注意する。
11,選択,高濃度電解質,高濃度電解質,リン酸2カリウム注20mEqキットと配合変化に注意が必要な製剤について正しいものを選択してください。,ラクテック;ソリューゲンF;ヴィーンD;ビーフリード;アクチット;フィジオ140,ラクテック;ソリューゲンF;ヴィーンD;ビーフリード;アクチット;フィジオ140,,"すべて不可。
カルシウム塩を含む製剤：ラクテック、ソリューゲンF、ヴィーンD、ビーフリード
マグネシウム塩を含む製剤：ビーフリード、アクチット、フィジオ140"
12,選択,高濃度電解質,高濃度電解質,硫酸Mg補正液1meq/mLとマグネゾール注20mL/AのMg濃度は同じMg量か。,はい;いいえ,いいえ,,硫酸Mg補正液は1meq/mL製剤なので1本で20meq/20mL、マグネゾールは硫酸マグネシウム2ｇ含有製剤であり、硫酸Mg水和物で分子量246.5なので2ｇ÷246.5＝約8.1mmolとなり2価のため16.2mEqとなる。
